Time	FP1	FP2	C3	C4	P7	P8	O1	O2	F7	F8	F3	F4	T7	T8	P3	P4
0.0000	-0.0017	0.0001	-0.0012	0.0009	-0.0009	0.0015	-0.0006	-0.0008	-0.0000	-0.0000	-0.0011	-0.0016	-0.0009	0.0002	-0.0002	-0.0002
8.0000	-0.0017	0.0001	-0.0013	0.0007	-0.0009	0.0016	-0.0006	-0.0008	-0.0000	-0.0000	-0.0011	-0.0018	-0.0009	0.0002	-0.0002	-0.0002
16.0000	-0.0017	0.0001	-0.0012	0.0005	-0.0009	0.0016	-0.0006	-0.0008	-0.0000	-0.0000	-0.0011	-0.0020	-0.0009	0.0002	-0.0002	-0.0002
24.0000	-0.0017	0.0000	-0.0012	0.0003	-0.0009	0.0017	-0.0006	-0.0008	-0.0000	-0.0000	-0.0010	-0.0022	-0.0009	0.0002	-0.0002	-0.0002
32.0000	-0.0017	0.0000	-0.0013	0.0001	-0.0009	0.0017	-0.0006	-0.0008	-0.0000	-0.0000	-0.0010	-0.0023	-0.0008	0.0002	-0.0002	-0.0002
40.0000	-0.0017	-0.0000	-0.0013	-0.0002	-0.0009	0.0018	-0.0006	-0.0008	-0.0000	-0.0000	-0.0010	-0.0026	-0.0008	0.0002	-0.0002	-0.0002
48.0000	-0.0017	-0.0001	-0.0013	-0.0004	-0.0009	0.0018	-0.0006	-0.0008	-0.0000	-0.0000	-0.0010	-0.0029	-0.0008	0.0002	-0.0003	-0.0002
56.0000	-0.0018	-0.0001	-0.0013	-0.0008	-0.0009	0.0019	-0.0007	-0.0008	-0.0000	-0.0000	-0.0010	-0.0031	-0.0008	0.0001	-0.0003	-0.0002
64.0000	-0.0018	-0.0002	-0.0013	-0.0011	-0.0009	0.0020	-0.0007	-0.0008	-0.0000	-0.0000	-0.0010	-0.0033	-0.0008	0.0001	-0.0003	-0.0002
72.0000	-0.0018	-0.0002	-0.0013	-0.0014	-0.0009	0.0020	-0.0007	-0.0008	-0.0000	-0.0000	-0.0010	-0.0036	-0.0008	0.0001	-0.0003	-0.0002
80.0000	-0.0018	-0.0002	-0.0013	-0.0017	-0.0009	0.0021	-0.0008	-0.0009	-0.0000	-0.0000	-0.0010	-0.0037	-0.0008	0.0001	-0.0003	-0.0002
88.0000	-0.0018	-0.0003	-0.0014	-0.0019	-0.0010	0.0021	-0.0008	-0.0009	-0.0000	-0.0000	-0.0010	-0.0038	-0.0008	0.0001	-0.0003	-0.0003
96.0000	-0.0019	-0.0003	-0.0014	-0.0022	-0.0010	0.0022	-0.0009	-0.0009	-0.0000	-0.0000	-0.0011	-0.0038	-0.0008	0.0001	-0.0003	-0.0003
104.0000	-0.0020	-0.0004	-0.0014	-0.0025	-0.0011	0.0022	-0.0010	-0.0010	-0.0000	-0.0000	-0.0012	-0.0037	-0.0009	0.0001	-0.0003	-0.0003
112.0000	-0.0020	-0.0004	-0.0015	-0.0028	-0.0012	0.0023	-0.0011	-0.0011	-0.0000	-0.0000	-0.0013	-0.0035	-0.0009	0.0001	-0.0003	-0.0004
120.0000	-0.0022	-0.0005	-0.0016	-0.0032	-0.0013	0.0024	-0.0012	-0.0012	-0.0000	-0.0000	-0.0014	-0.0032	-0.0010	0.0000	-0.0004	-0.0004
