Time	FP1	FP2	C3	C4	P7	P8	O1	O2	F7	F8	F3	F4	T7	T8	P3	P4
0.0000	-1.1320	-1.1319	0.4401	1.3680	-1.1329	-1.1241	-1.1140	0.7548	-1.1049	-1.0621	0.3463	-1.0553	-1.1049	-1.0955	1.6327	-1.1116
8.0000	-1.1879	-1.1921	0.4775	1.4268	-1.1904	-1.1801	-1.1378	0.7995	-1.1163	-1.0797	0.3298	-1.0749	-1.1152	-1.1063	1.6981	-1.1222
16.0000	-1.2276	-1.2319	0.4958	1.4747	-1.2301	-1.2205	-1.1737	0.8349	-1.1515	-1.1142	0.3523	-1.1103	-1.1508	-1.1416	1.7618	-1.1589
24.0000	-1.2631	-1.2658	0.5024	1.5145	-1.2649	-1.2562	-1.2198	0.8632	-1.2002	-1.1597	0.3912	-1.1554	-1.2001	-1.1909	1.8227	-1.2091
32.0000	-1.3071	-1.3099	0.5155	1.5559	-1.3092	-1.3000	-1.2634	0.8952	-1.2427	-1.2023	0.4136	-1.1976	-1.2425	-1.2338	1.8851	-1.2513
40.0000	-1.3517	-1.3557	0.5350	1.6000	-1.3549	-1.3453	-1.3019	0.9322	-1.2815	-1.2431	0.4303	-1.2382	-1.2814	-1.2731	1.9534	-1.2898
48.0000	-1.3908	-1.3947	0.5522	1.6428	-1.3947	-1.3851	-1.3420	0.9693	-1.3250	-1.2872	0.4606	-1.2820	-1.3255	-1.3175	2.0230	-1.3342
56.0000	-1.4343	-1.4375	0.5697	1.6856	-1.4386	-1.4283	-1.3872	1.0072	-1.3703	-1.3324	0.4946	-1.3267	-1.3714	-1.3635	2.0883	-1.3804
64.0000	-1.4871	-1.4906	0.5910	1.7305	-1.4920	-1.4806	-1.4369	1.0480	-1.4161	-1.3786	0.5215	-1.3729	-1.4175	-1.4098	2.1542	-1.4263
72.0000	-1.5405	-1.5445	0.6115	1.7753	-1.5458	-1.5339	-1.4896	1.0886	-1.4676	-1.4297	0.5500	-1.4246	-1.4695	-1.4617	2.2258	-1.4780
80.0000	-1.5906	-1.5943	0.6298	1.8202	-1.5960	-1.5833	-1.5422	1.1285	-1.5231	-1.4834	0.5840	-1.4794	-1.5249	-1.5168	2.2972	-1.5334
88.0000	-1.6428	-1.6461	0.6514	1.8681	-1.6482	-1.6341	-1.5926	1.1716	-1.5758	-1.5342	0.6156	-1.5321	-1.5772	-1.5684	2.3652	-1.5856
96.0000	-1.6968	-1.7001	0.6753	1.9160	-1.7022	-1.6873	-1.6433	1.2170	-1.6272	-1.5847	0.6455	-1.5845	-1.6285	-1.6186	2.4361	-1.6365
104.0000	-1.7474	-1.7504	0.6949	1.9578	-1.7522	-1.7378	-1.6969	1.2604	-1.6806	-1.6383	0.6790	-1.6397	-1.6822	-1.6715	2.5110	-1.6899
112.0000	-1.7962	-1.7985	0.7121	1.9948	-1.8001	-1.7858	-1.7510	1.3024	-1.7327	-1.6914	0.7109	-1.6942	-1.7342	-1.7236	2.5847	-1.7418
120.0000	-1.8466	-1.8485	0.7322	2.0331	-1.8503	-1.8354	-1.8023	1.3470	-1.7817	-1.7413	0.7373	-1.7457	-1.7827	-1.7724	2.6590	-1.7903
128.0000	-1.8956	-1.8975	0.7529	2.0731	-1.8999	-1.8846	-1.8518	1.3922	-1.8308	-1.7909	0.7651	-1.7969	-1.8317	-1.8217	2.7368	-1.8397
136.0000	-1.9412	-1.9431	0.7707	2.1124	-1.9457	-1.9307	-1.9021	1.4344	-1.8801	-1.8410	0.7966	-1.8479	-1.8815	-1.8720	2.8130	-1.8902
144.0000	-1.9870	-1.9890	0.7882	2.1528	-1.9913	-1.9763	-1.9526	1.4751	-1.9265	-1.8884	0.8247	-1.8961	-1.9278	-1.9192	2.8873	-1.9375
152.0000	-2.0359	-2.0379	0.8079	2.1964	-2.0397	-2.0245	-2.0022	1.5159	-1.9725	-1.9345	0.8499	-1.9427	-1.9729	-1.9652	2.9686	-1.9834
160.0000	-2.0875	-2.0894	0.8269	2.2403	-2.0908	-2.0759	-2.0533	1.5552	-2.0229	-1.9844	0.8787	-1.9923	-2.0228	-2.0155	3.0551	-2.0331
168.0000	-2.1418	-2.1436	0.8443	2.2824	-2.1448	-2.1297	-2.1078	1.5934	-2.0772	-2.0388	0.9087	-2.0463	-2.0779	-2.0706	3.1369	-2.0871
176.0000	-2.1963	-2.1980	0.8626	2.3244	-2.1994	-2.1837	-2.1636	1.6333	-2.1322	-2.0944	0.9352	-2.1020	-2.1338	-2.1264	3.2178	-2.1419
184.0000	-2.2459	-2.2476	0.8813	2.3671	-2.2492	-2.2334	-2.2160	1.6741	-2.1855	-2.1481	0.9616	-2.1557	-2.1872	-2.1800	3.3059	-2.1954
192.0000	-2.2911	-2.2925	0.8976	2.4088	-2.2941	-2.2786	-2.2631	1.7129	-2.2353	-2.1975	0.9904	-2.2049	-2.2364	-2.2294	3.3938	-2.2455
200.0000	-2.3364	-2.3374	0.9120	2.4490	-2.3390	-2.3234	-2.3073	1.7493	-2.2813	-2.2425	1.0168	-2.2502	-2.2822	-2.2751	3.4772	-2.2916
208.0000	-2.3805	-2.3814	0.9257	2.4890	-2.3832	-2.3678	-2.3509	1.7839	-2.3261	-2.2859	1.0393	-2.2944	-2.3273	-2.3198	3.5676	-2.3356
216.0000	-2.4187	-2.4198	0.9381	2.5296	-2.4223	-2.4078	-2.3933	1.8160	-2.3695	-2.3285	1.0622	-2.3373	-2.3710	-2.3640	3.6652	-2.3784
224.0000	-2.4531	-2.4542	0.9502	2.5718	-2.4570	-2.4435	-2.4329	1.8459	-2.4082	-2.3676	1.0865	-2.3761	-2.4097	-2.4042	3.7556	-2.4176
232.0000	-2.4871	-2.4878	0.9637	2.6166	-2.4907	-2.4776	-2.4699	1.8747	-2.4425	-2.4025	1.1101	-2.4110	-2.4438	-2.4397	3.8426	-2.4528
240.0000	-2.5184	-2.5185	0.9766	2.6614	-2.5216	-2.5089	-2.5036	1.9005	-2.4756	-2.4352	1.1341	-2.4446	-2.4769	-2.4732	3.9404	-2.4859
248.0000	-2.5432	-2.5427	0.9868	2.7026	-2.5467	-2.5346	-2.5319	1.9209	-2.5066	-2.4654	1.1592	-2.4759	-2.5080	-2.5041	4.0403	-2.5157
256.0000	-2.5617	-2.5609	0.9963	2.7400	-2.5656	-2.5546	-2.5533	1.9368	-2.5308	-2.4896	1.1827	-2.5014	-2.5325	-2.5287	4.1311	-2.5389
