Time	FP1	FP2	C3	C4	P7	P8	O1	O2	F7	F8	F3	F4	T7	T8	P3	P4
0.0000	84.1943	3.2974	44.9644	58.1548	53.7823	62.2275	54.6236	38.8907	47.3036	77.3090	44.7890	55.7517	47.1148	54.8377	47.9535	42.5134
8.0000	99.5349	4.1815	53.0626	68.5263	63.6679	73.3262	64.4555	46.5609	43.9570	86.6749	34.8460	55.9543	47.1848	69.8398	42.9343	22.2264
16.0000	79.5398	5.6858	42.5238	53.9452	50.9349	56.6040	51.2171	42.9175	46.4209	92.1678	33.7967	59.3146	53.9299	75.3222	38.0301	22.0828
24.0000	1.4169	3.6665	0.8614	-0.6997	0.8732	-1.8361	0.1473	9.5310	19.1134	37.2872	11.2522	24.0552	26.5438	31.6554	7.4200	9.2945
32.0000	-77.9235	-1.7583	-41.6709	-55.2882	-50.0899	-58.2830	-51.4898	-32.5212	-36.1926	-57.2269	-36.3747	-42.7390	-33.3204	-37.4343	-41.2495	-34.5609
40.0000	-99.7388	-5.2827	-53.4377	-69.6727	-64.1851	-72.1643	-65.4764	-48.9186	-69.7134	-107.1899	-66.9735	-81.2017	-70.2971	-70.5566	-67.1526	-69.2210
48.0000	-84.5761	-4.7307	-45.2785	-59.0006	-54.4649	-61.1467	-55.4601	-41.9926	-62.8698	-94.2895	-61.3545	-72.6606	-63.1917	-60.5939	-60.2912	-65.2186
56.0000	-80.4793	-3.5831	-43.0441	-56.3844	-51.7785	-59.1117	-52.7863	-37.7828	-51.2954	-78.7305	-50.3600	-59.9600	-50.7210	-51.2056	-51.6214	-51.6908
64.0000	-87.3379	-4.0641	-46.7590	-61.0874	-56.1531	-64.0477	-57.1921	-41.5395	-56.1944	-87.4122	-54.6819	-66.0870	-56.2545	-57.6541	-55.9803	-55.7073
72.0000	-84.2440	-4.4376	-45.1204	-58.7082	-54.1671	-61.4150	-55.0229	-41.3350	-59.4285	-90.9330	-58.1619	-69.5565	-60.0953	-59.2943	-57.8878	-60.9045
80.0000	-77.7441	-3.8232	-41.6039	-54.1751	-49.9671	-56.9974	-50.6983	-37.4726	-52.7102	-80.8639	-52.0377	-61.9216	-53.0291	-52.7289	-52.2503	-54.2516
88.0000	-79.4535	-3.6131	-42.5206	-55.3999	-51.0323	-58.4749	-51.8222	-37.6062	-50.5264	-78.8818	-49.6086	-59.7621	-50.6983	-52.3021	-50.7990	-50.5623
96.0000	-80.5975	-3.9906	-43.1647	-56.0826	-51.7741	-58.9246	-52.6012	-38.9351	-54.3717	-84.0045	-53.0551	-63.8528	-54.7631	-55.6046	-53.4895	-54.7593
104.0000	-75.6503	-3.8497	-40.5056	-52.5856	-48.6179	-55.0674	-49.4513	-36.7599	-52.9193	-80.4132	-51.6131	-61.5158	-52.9453	-52.7670	-51.5403	-53.9312
112.0000	-73.5045	-3.4265	-39.3363	-51.1895	-47.2413	-53.5576	-48.2039	-34.9541	-48.8932	-74.4436	-47.3201	-56.5830	-48.2401	-49.1731	-48.0599	-48.6917
120.0000	-75.2309	-3.5126	-40.2778	-52.4377	-48.3532	-54.5716	-49.4756	-35.8266	-50.2277	-76.4122	-48.1056	-57.8211	-49.3996	-50.7646	-48.9618	-49.2673
