Time	FP1	FP2	C3	C4	P7	P8	O1	O2	F7	F8	F3	F4	T7	T8	P3	P4
0.0000	0.0667	-0.1467	0.0286	0.0682	0.1261	0.0980	0.1566	0.0273	0.0795	0.0004	-2.8620	-3.3626	0.0895	0.1576	3.1577	-0.4169
8.0000	0.0792	-0.1428	0.0454	0.0462	-0.0337	0.0724	0.1272	-0.0790	0.2148	0.2251	-2.0101	-2.5579	0.0267	0.3017	3.4928	-0.1276
16.0000	0.0531	-0.0091	0.0124	0.0064	-0.0641	0.0468	0.0775	-0.1322	0.2329	0.3045	-1.3203	-1.8747	-0.0170	0.3348	3.6239	0.1118
24.0000	0.0278	0.0986	-0.0151	-0.0179	-0.0474	0.0401	0.0608	-0.1290	0.1762	0.2707	-0.9122	-1.4572	-0.0384	0.2860	3.6331	0.2383
32.0000	0.0358	0.0683	0.0057	-0.0196	-0.0991	0.0430	0.0704	-0.1268	0.1512	0.2464	-0.5548	-1.1047	-0.0512	0.2483	3.6531	0.3248
40.0000	0.0471	-0.0282	0.0319	-0.0256	-0.1809	0.0344	0.0549	-0.1469	0.1467	0.2176	-0.2375	-0.7961	-0.0618	0.2147	3.6125	0.3936
48.0000	0.0388	-0.1065	0.0275	-0.0383	-0.2226	0.0206	0.0244	-0.1608	0.1051	0.1276	-0.1041	-0.6628	-0.0685	0.1443	3.4310	0.4029
56.0000	0.0406	-0.1753	0.0281	-0.0301	-0.2417	0.0228	0.0290	-0.1506	0.0547	0.0329	-0.0844	-0.6448	-0.0644	0.0746	3.1880	0.3699
64.0000	0.0662	-0.2282	0.0569	-0.0030	-0.2535	0.0349	0.0558	-0.1294	0.0462	0.0019	-0.0294	-0.5942	-0.0471	0.0506	2.9569	0.3483
72.0000	0.0806	-0.2163	0.0794	0.0106	-0.2266	0.0339	0.0577	-0.1109	0.0609	0.0075	0.0436	-0.5140	-0.0310	0.0473	2.7195	0.3379
80.0000	0.0691	-0.1485	0.0785	0.0052	-0.1685	0.0233	0.0434	-0.0924	0.0689	0.0166	0.1072	-0.4328	-0.0313	0.0385	2.5002	0.3218
88.0000	0.0593	-0.0748	0.0792	0.0027	-0.1258	0.0218	0.0380	-0.0699	0.0843	0.0509	0.2454	-0.2793	-0.0387	0.0465	2.3676	0.3220
96.0000	0.0593	0.0035	0.0852	0.0028	-0.1021	0.0224	0.0212	-0.0503	0.1157	0.1109	0.4759	-0.0333	-0.0399	0.0784	2.3108	0.3530
104.0000	0.0502	0.0978	0.0781	-0.0102	-0.0769	0.0065	-0.0166	-0.0415	0.1403	0.1628	0.7198	0.2348	-0.0461	0.1055	2.2833	0.3937
112.0000	0.0390	0.1701	0.0721	-0.0278	-0.0632	-0.0144	-0.0369	-0.0422	0.1463	0.2027	0.9666	0.5107	-0.0682	0.1185	2.2949	0.4331
120.0000	0.0474	0.1943	0.0918	-0.0325	-0.0742	-0.0148	-0.0269	-0.0445	0.1412	0.2409	1.2379	0.8140	-0.0871	0.1309	2.3384	0.4728
128.0000	0.0604	0.2005	0.1171	-0.0303	-0.0908	-0.0010	-0.0201	-0.0423	0.1258	0.2571	1.4647	1.0804	-0.0846	0.1368	2.3403	0.4945
136.0000	0.0512	0.2063	0.1151	-0.0354	-0.1056	0.0012	-0.0224	-0.0347	0.0987	0.2377	1.5890	1.2470	-0.0767	0.1225	2.2659	0.4866
144.0000	0.0365	0.1867	0.0961	-0.0440	-0.1352	-0.0068	-0.0122	-0.0284	0.0651	0.1999	1.6535	1.3445	-0.0814	0.0926	2.1442	0.4692
152.0000	0.0482	0.1342	0.0870	-0.0447	-0.1756	-0.0030	-0.0048	-0.0362	0.0262	0.1490	1.6754	1.3907	-0.0849	0.0545	1.9652	0.4463
160.0000	0.0773	0.0710	0.0859	-0.0333	-0.2048	0.0131	-0.0216	-0.0602	-0.0156	0.0803	1.6057	1.3447	-0.0716	0.0130	1.6912	0.3934
168.0000	0.0919	0.0075	0.0766	-0.0090	-0.2185	0.0209	-0.0338	-0.0829	-0.0485	0.0205	1.4673	1.2291	-0.0553	-0.0157	1.3569	0.3186
176.0000	0.0896	-0.0465	0.0603	0.0248	-0.2214	0.0163	-0.0142	-0.0880	-0.0686	-0.0031	1.3497	1.1304	-0.0513	-0.0237	1.0330	0.2638
184.0000	0.0917	-0.0614	0.0473	0.0573	-0.2087	0.0139	0.0083	-0.0822	-0.0815	-0.0075	1.2703	1.0680	-0.0486	-0.0286	0.7286	0.2358
192.0000	0.1021	-0.0332	0.0389	0.0779	-0.1870	0.0135	0.0036	-0.0826	-0.0798	-0.0118	1.1994	1.0135	-0.0371	-0.0361	0.4291	0.2093
